,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,16496,55697,15508,25262,23912,26714,77795,57782,30785,16717,0,32556,45825,53170,55645,26088,32397,19418,64057,12870,20068,39280,33591,53077,34194,33640,13214,12760,18702,28553,50798,8090,39202,25558,24169,25275,41701,17038,92298,24960,79976,17401,9422,24784,9093,15235,6578,28987,97273,72726,25941,25966,22392,17797,59847,36719,22226,32346,20197,15734,23859,43829,17938,6164,31352,26374,57743,59662,30694,27969,16809,10033,6569,21788,22639,13745,57916,20643,5482,21758,42477,25581,10733,38000,26292,15838,17425,28136,25640,15318,20028,22374,17068,55726,29380,91990,18471,19206,25509,14576,16431,9573,29682,26487,18227,26087,85030,18545,86977,16978,83095,23593,27588,21063,33680,26094,27995,12627,27039,21665,34825
11,37566,64085,37133,35231,10880,47707,98788,54655,2830,37207,33149,0,66818,50042,76638,47258,53390,47965,85050,34554,48362,47667,54584,49950,8407,51232,38950,32241,41325,39968,59185,25757,11312,46551,45162,44792,62694,37742,113291,46030,100969,45694,36973,34571,27286,43782,32701,13582,105661,64108,47010,22839,50685,46344,80840,10351,43296,10802,43691,32090,44852,52216,30286,36309,52345,47367,78736,80655,42659,16007,42545,31074,30130,22519,43632,37987,78909,41133,29615,42751,63470,46574,39280,58993,54585,36327,43161,9744,53933,30005,45764,50667,45615,76719,50450,76924,38960,40199,46502,42870,36920,35741,50675,47480,41419,47080,93418,26888,107970,42714,104088,44663,19250,42056,54673,45271,37964,38363,48209,42154,47857
12,30915,89419,32207,50183,56989,22874,60398,98289,64481,34623,45499,66251,0,93676,35981,26359,27743,53279,44393,35608,53790,73002,22978,93583,68094,29361,36127,38280,32844,62275,84519,48559,72897,22430,29078,28479,25174,32104,74901,31864,62579,51122,41495,43076,51532,44626,41286,57828,130995,106448,32068,66473,56114,47622,26707,70619,30486,66042,36388,36365,29123,77551,58445,46145,20739,30384,40346,42265,33991,63003,39124,45773,46998,51789,27549,36454,38252,38549,46175,26066,8097,22223,44708,13204,60014,34130,39740,61936,59362,55825,42343,56095,50928,38329,30355,132759,34157,28810,27782,48298,32896,53519,25403,27354,32938,24774,118752,47385,69580,39293,65698,33940,66246,31979,29026,29392,48965,37423,27626,34723,32932
13,65039,43045,64330,66072,41521,75180,126261,35315,48197,64680,53425,49968,94291,0,104112,74554,80864,68241,112524,61692,61069,57611,82057,20426,42782,82107,62036,58911,67524,49911,47599,45802,41695,74024,72635,73741,90168,65215,140764,73503,128442,61496,58244,65110,46184,64057,55400,49386,74779,21419,74484,30280,70960,66619,108313,45528,70769,49758,69019,59564,72326,52444,40229,56584,79818,74840,106210,108129,78464,37205,65631,51426,50405,53058,71106,62567,106382,68606,49891,70225,90944,74047,59555,86466,71858,63801,66247,45548,66167,42573,68850,70942,65890,104192,77924,39719,66434,67672,73976,63145,64394,54482,78148,74954,67049,74553,85809,57427,135443,65800,131562,72136,34467,69529,82147,74560,68804,61449,75505,69628,83291
14,41626,100130,42919,56533,67700,33585,41837,109000,75192,45335,56210,76963,35915,104388,0,36807,29697,63990,9584,46320,64501,83713,26164,104295,78806,38739,46838,48992,43556,72986,95231,59271,83609,33142,39790,38928,31807,42816,56340,42575,44018,61834,52206,53788,62243,55338,51998,64311,141706,117160,42780,77184,66825,58333,28852,81331,41197,73763,47099,47077,39835,88262,69156,56857,25420,41096,21077,23704,36496,73714,49835,56485,57709,62501,38260,47165,3443,49260,56886,36778,28451,32934,55420,37721,70725,44841,50452,68421,70073,66536,53054,66807,61640,17783,41066,143470,44869,39521,38493,59009,43607,64231,34781,38066,43650,35222,129463,58097,51019,50004,47137,44652,76957,42691,30980,39840,57879,48134,38074,45434,42722
15,11390,69894,12683,26004,37464,8151,58670,78764,45053,15099,25974,46824,26700,74151,36520,0,11359,33754,44932,16084,34265,53477,14466,74059,48570,11508,16602,18756,13320,42750,64995,29035,53319,4371,6149,3581,22576,12580,73173,14794,60851,31598,21970,23552,32007,25102,21762,33821,111470,86923,15722,46948,36589,28097,40722,51095,12336,43272,16863,16841,7915,58026,38920,26620,12227,6123,38618,40537,9093,43478,19599,26249,27473,32265,6340,16929,38791,19024,26650,6445,23352,7018,25184,18875,40489,14605,20216,37931,39837,36300,22818,36571,31404,36601,15632,113234,14458,9140,13059,28773,13371,33995,8643,12509,13414,2500,99227,27861,67852,19768,63970,15791,46721,12309,12642,4494,28056,17898,2046,13903,13224
16,17652,76156,18945,34199,43726,11014,51624,85026,51218,21361,32236,52989,28056,80413,29474,11202,0,40016,37886,22345,40527,59739,7371,80320,54831,12223,22864,25018,19581,49012,71257,35297,59635,7474,15889,13322,24046,18841,66127,20004,53805,37860,28232,29814,38269,31363,28023,41977,117732,93185,20209,53210,42851,34359,41352,57357,18626,51428,23125,23103,15861,64288,45182,32882,10561,15864,31572,33491,14161,49740,25861,32510,33735,38526,14286,23191,31745,25286,32912,12804,24709,10363,31446,20231,46751,20867,26478,46086,46099,42562,29080,42833,37665,29555,18495,119496,20895,15499,15922,35035,19633,40257,8264,15495,19676,9617,105489,34123,60806,26030,56924,22081,52983,19039,1445,14234,35702,24160,12468,21460,15731
17,25644,51722,25171,36289,38880,34704,85785,69291,45753,26380,19774,47524,53815,68138,63635,34078,40387,0,72047,22533,16093,35304,41581,68045,49162,41630,18807,23438,23572,24578,46822,23059,54170,33548,32159,33265,49691,26701,100288,30300,87966,13425,18344,34447,26208,11929,16535,40014,93298,68751,31281,40935,18037,8782,67837,51687,27566,47314,25068,26389,31849,39854,32907,16951,39342,34364,65733,67652,38683,42938,21198,22217,21273,33975,30629,21986,65906,30306,20450,29925,50467,33570,10071,45990,21937,25501,21814,43104,21664,30287,24417,18019,8401,63716,34720,95062,28133,27373,33099,10601,26093,17404,37672,34393,23098,34076,81055,29571,94967,20625,91085,28933,42556,28586,41670,34084,39021,20102,35029,31328,42814
18,49894,108398,51187,64802,75968,41854,42841,117269,83460,53603,64478,85231,44183,112656,9463,45075,37965,72259,0,54588,72770,91981,34432,112563,87074,47007,55107,57260,51824,81255,103499,67539,91877,41410,48058,47196,40075,51084,59089,50843,46767,70102,60475,62056,70511,63606,60266,72580,149975,125428,51048,85453,75093,66602,37120,89599,49465,82031,55367,55345,48103,96530,77424,65125,33688,49364,19350,26271,44764,81983,58103,64753,65977,70769,46528,55433,6996,57529,65154,45046,36720,41203,63688,45989,78993,53109,58720,76689,78341,74804,61323,75075,69908,24266,49335,151739,53137,47790,46762,67278,51875,72499,43049,46334,51918,43490,137731,66365,52023,58273,49886,52920,85226,50959,39248,48108,66147,56402,46342,53702,50990
19,6645,58275,5657,22087,24973,16863,67944,65792,32465,6867,12815,34235,35975,61179,45795,16237,22547,22135,54207,0,22646,41858,23740,61086,36078,23790,5930,3950,9683,31131,53376,16100,40881,15708,14318,15424,31851,7187,82448,15110,70125,19979,8811,14934,19072,13404,8603,25812,99851,75304,16090,33976,24970,16400,49996,38603,12376,34026,11136,4939,14009,46407,25948,13462,21501,16523,47893,49812,20843,30987,9525,11459,14314,19773,12789,4174,48065,10793,13491,11908,32627,15730,13565,28149,28870,5987,10141,29920,28218,23328,12744,24952,19784,45875,19530,99999,8620,9355,15659,17154,6580,21994,19831,16637,9208,16236,87608,15369,77126,9694,73245,13742,34230,11212,23830,16243,20822,5342,17188,11814,24974
