,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,419953,1249727,390537,555093,544154,682066,1850787,1170215,713743,403834,0,758684,1060863,1297087,1372243,662222,804044,467836,1506353,307453,395212,825863,827550,1256356,802988,793741,329490,252738,459622,604354,1147856,161993,953876,663285,583572,648013,921555,432101,2155213,585032,1898569,327036,199245,520040,159017,354805,138525,640655,1685853,1738893,579372,600337,393101,399877,1249014,863959,527709,772842,463757,307640,575549,994531,399132,90269,791426,635793,1419742,1458444,778306,665745,412416,185730,111642,467573,564975,328565,1416191,466657,94493,550173,1032109,652857,261540,948686,440907,389624,424198,649934,482489,332962,460827,390391,393990,1356191,647237,2308191,429542,498056,620143,256310,393463,151023,751800,641328,452822,630863,1408270,410704,2061045,416448,1989707,565864,637686,497742,813341,660312,591097,307391,667065,474545,781740
11,928734,1551114,909619,724899,228231,1190336,2359057,1119212,56178,910096,764603,0,1569133,1246084,1880514,1013911,1312314,1136032,2014623,834252,1137818,1127250,1335821,1205353,176608,981859,937788,785308,999735,984209,1449244,611001,247766,1171555,1091842,963361,1429825,932563,2663483,1093813,2406840,1069642,878560,799728,646127,1023001,799663,287344,1987240,1716192,1088153,549334,1135707,1068073,1757285,223493,1036490,209311,999305,775602,1083820,1295918,765889,819821,1299696,1144064,1928013,1966714,917309,368461,1020714,746820,699414,493118,1073245,926065,1924462,972919,696583,1058443,1540380,1161127,929735,1456956,1183513,895886,1032496,193815,1225095,705607,1069125,1132997,1062186,1864461,1156019,2184002,935805,1006326,1128414,998916,899726,805519,1260070,1149599,1004264,1139134,1709657,641632,2569316,1024746,2497978,1074645,459025,1006013,1321611,958918,760903,915688,1018754,980808,950199
12,652362,2124567,699553,845757,1347027,447726,1121933,2120681,1521312,731030,1059511,1566253,0,2247553,639126,531500,511216,1265041,773235,793043,1270052,1700703,422779,2206822,1616715,552935,814573,834943,705406,1479194,2022697,1112123,1761445,433044,579328,573763,314492,687024,1426358,641266,1169715,1201876,939833,883695,1171709,1016685,939236,1334315,2560693,2613734,628156,1550803,1267941,1063569,331970,1677686,590980,1580412,735376,807746,578978,1869372,1349598,1064011,386655,602489,690888,729589,713038,1507914,882080,1018760,1074866,1165574,560731,813899,683074,793853,1057606,535444,107113,429292,1061970,193102,1315747,753279,893862,1430101,1357330,1283428,930491,1265231,1191194,627336,623162,3248312,715618,588729,550954,1131150,703809,1197528,510994,538251,709935,493534,2283110,1104365,1332191,886112,1260853,670244,1598479,631552,520514,595043,967114,843484,545427,677845,578602
13,1621364,981994,1595914,1678005,1045994,1882966,3051687,587958,1207487,1602726,1301783,1252429,2261763,0,2573144,1863122,2004944,1673213,2707253,1512830,1484360,1388864,2028451,451852,1004937,1994641,1534867,1444835,1664999,1245823,1089781,1144114,1095074,1864185,1784472,1848913,2122455,1625193,3356113,1786443,3099470,1520578,1404622,1623673,1141144,1560182,1343901,1237208,1102840,414655,1780783,749953,1672888,1605253,2449915,1163996,1729120,1266587,1669134,1468232,1776450,1205486,1027503,1357001,1992326,1836694,2620643,2659344,1867173,933565,1617792,1277530,1236595,1317064,1765875,1533941,2617092,1665549,1233763,1751073,2233010,1853757,1466916,2149586,1614083,1588516,1629574,1143679,1574241,1038152,1666203,1670178,1599367,2557091,1848649,1023298,1628435,1698956,1821043,1536096,1592356,1299235,1952700,1842228,1658199,1831763,1430644,1465578,3261946,1621825,3190608,1767275,849340,1698643,2014241,1861212,1714009,1512767,1867965,1673438,1982641
14,972121,2444326,1019312,1201299,1666787,767485,835093,2440440,1841071,1050789,1379270,1886012,641713,2567312,0,809690,677778,1584800,143167,1112802,1589812,2020462,588012,2526581,1936474,857044,1134332,1154702,1025165,1798953,2342456,1431883,2081204,752803,899087,851953,601130,1006783,1139519,961025,882876,1521636,1259593,1203454,1491468,1336444,1258995,1405696,2880452,2933493,947915,1870562,1587701,1383328,546034,1997445,910739,1652753,1055135,1127505,898737,2189131,1669357,1383770,580852,922249,263233,442750,802062,1827673,1201839,1338520,1394625,1485333,880490,1133658,53005,1113612,1377365,855203,542610,749052,1381729,699023,1635506,1073038,1213621,1502001,1677089,1603187,1250250,1584990,1510954,181846,942921,3568071,1035377,908488,870713,1450909,1023568,1517287,815103,858010,1029694,771724,2602870,1424124,1045352,1205871,974014,990003,1918238,951311,687075,873233,1090047,1163243,823617,997604,857834
15,254124,1726329,301315,447382,948790,146730,1322921,1722443,970076,332792,661273,1015017,532997,1849315,844377,0,227789,866803,978487,394805,871815,1302465,299685,1808584,1218477,113014,416335,436705,307168,1080956,1624459,713886,1202009,85931,96619,53577,393689,288786,1627347,301700,1370703,803639,541595,485457,773471,618447,540998,721864,2162455,2215496,279878,1152565,869704,665331,721148,1279448,245590,968921,337138,409508,140479,1471134,951360,665773,263560,81273,891876,930578,192853,1109676,483842,620523,676628,767336,122231,415661,888326,395615,659368,136992,504243,117521,663732,420820,917509,355041,495624,818169,959092,885190,532253,866993,792957,828325,322166,2850074,253673,199786,249958,732912,305571,799290,175545,234930,311697,33050,1884872,706127,1533179,487874,1461842,324854,1200241,242609,237086,74858,361102,445246,16504,236899,196287
16,394195,1866401,441386,611459,1088861,220916,1149923,1862515,1263145,472863,801344,1308086,511542,1989386,671379,224674,0,1006874,805488,534876,1011886,1442536,97095,1948655,1358548,201049,556406,576776,447239,1221027,1764530,853957,1503278,141884,309979,266937,381714,428857,1454349,414455,1197705,943710,681667,625528,913543,758518,681070,815857,2302526,2355567,401346,1292636,1009775,805402,789087,1419519,364170,1062914,477209,549579,320811,1611205,1091431,805845,132909,294633,718878,757579,212223,1249748,623913,760594,816700,907407,302564,555732,715327,535686,799440,277277,482788,202482,803803,399365,1057580,495112,635695,912162,1099163,1025261,672324,1007065,933028,655326,396352,2990145,457452,340071,324144,872983,445643,939361,159107,311440,451768,186709,2024944,846198,1360181,627945,1288843,443433,1340312,402771,9658,288218,708948,585317,238601,419678,187315
17,638198,1230369,601795,865857,914740,884710,2053431,1322618,1084329,615091,466984,1129270,1263507,1667673,1574887,864866,1006688,0,1708997,518711,375854,806505,1030195,1626942,1173574,996385,469033,525866,582049,584996,1128499,532579,1324462,865929,786216,850657,1124199,643358,2357857,731144,2101214,307678,382153,731297,478486,177821,386042,951419,1666495,1719536,725484,970923,351073,133026,1451658,1234545,673822,1143428,586184,602225,778194,975173,769718,364836,994070,838438,1622387,1661088,980951,1036332,522405,515658,482340,782678,767619,526278,1618836,677914,465080,753327,1234754,855501,208843,1151330,398878,600881,534187,1020520,463131,703548,570815,348363,152821,1558835,793350,2354114,640800,701210,799001,236952,604721,319565,954444,798096,575249,833507,1388912,721469,2263689,454658,2192352,711977,1008272,659105,1015985,862956,901862,497945,869709,685803,984385
18,1105736,2577942,1152928,1334914,1800402,901100,705855,2574056,1974686,1184404,1512885,2019627,775328,2700928,143293,943305,811393,1718415,0,1246418,1723427,2154077,721627,2660196,2070089,990659,1267947,1288317,1158780,1932568,2476071,1565498,2214819,886418,1032702,985568,734745,1140399,1075447,1094640,818804,1655251,1393208,1337069,1625084,1470059,1392611,1539312,3014067,3067108,1081531,2004177,1721316,1516944,679649,2131060,1044354,1786369,1188751,1261121,1032352,2322746,1802972,1517386,714467,1055864,222418,340358,935677,1961289,1335454,1472135,1528241,1618948,1014105,1267273,92682,1247227,1510981,988818,676225,882667,1515344,832638,1769121,1206654,1347236,1635617,1810704,1736802,1383865,1718606,1644569,254978,1076537,3701686,1168993,1042103,1004329,1584524,1157184,1650902,948718,991625,1163310,905339,2736485,1557739,916113,1339486,909942,1123618,2051853,1084926,820690,1006848,1223662,1296858,957232,1131219,991449
19,152916,1378392,123501,515354,613628,415029,1583750,1379171,787913,136797,305354,832854,793826,1506043,1105207,395185,537007,518866,1239316,0,523878,954528,560514,1465312,883315,526704,132686,69983,174200,733019,1276522,370949,1028046,396248,316535,380976,654518,165064,1888176,317995,1631533,455702,185677,253003,430535,263816,185080,600916,1814518,1867559,312335,809293,521767,310700,981978,944287,260673,847012,178005,83768,308513,1123197,608088,309854,524389,368757,1152706,1191407,511270,774515,215612,233009,320709,432174,297938,72044,1149155,199620,303449,283136,765073,385820,315795,681649,569572,122587,227394,696702,611155,541918,264023,519057,445020,1089154,380201,2517147,162506,231019,353106,384975,126427,457560,484763,374291,167400,363826,1536936,370965,1794009,219644,1722671,298828,865080,230706,546304,393275,336423,110587,400028,207509,514704
